condition,family,target_tau,id,baseline_length,attacked_length,length_ratio,control_error,predicted_length_ratio,curve_shift,extra_tokens,latency_ratio,mean_delta_risk,mean_delta_margin,risk_late_shift,margin_late_shift,weighted_margin_auc,probe_margin_mean_shift,probe_margin_late_shift,probe_weighted_margin_auc,baseline_onset_found,baseline_onset_marker,baseline_onset_token,attacked_onset_found,attacked_onset_marker,attacked_onset_token,onset_delay_ratio,preanswer_token_ratio,baseline_correct,attacked_correct,latency_sec,tokens_per_sec,distinct_2,distinct_3,repeat_4gram_rate,max_repeated_line_count
verbosity_1_light,verbosity,1.3,gsm8k_train_10,190,332,1.7473684210526317,0.44736842105263164,1.253607804144447,0.002288041302992812,142,1.7512582450001097,-0.002288041302992812,-0.13669586181640625,0.0032805103281368913,0.1230010986328125,0.055157470703125,0.07189302502233086,0.027762037123665095,0.025465398317361387,True,final answer,184,True,final answer,324,1.7608695652173914,1.7052631578947368,True,True,11.214965584978927,29.603300829087996,0.6649746192893401,0.7959183673469388,0.12307692307692308,4
verbosity_1_light,verbosity,1.3,gsm8k_train_11,200,294,1.47,0.16999999999999993,1.2461408648296506,0.0036587447582008257,94,1.47544259030282,-0.0036587447582008257,-0.10723876953125,0.0026244041759324772,0.0777587890625,0.05179443359375001,0.06224380327207668,-0.02592862685231978,0.02182689882683211,True,final answer,192,True,final answer,276,1.4375,1.38,True,True,9.680913978023455,30.36903340608195,0.7301587301587301,0.8563829787234043,0.0748663101604278,1
verbosity_1_light,verbosity,1.3,gsm8k_train_12,148,218,1.472972972972973,0.17297297297297298,1.297293778583446,-0.0057313778436188,70,1.4661412689554352,0.0057313778436188,0.08235677083333333,-0.003718264366204385,-0.04296875,-0.0265625,0.14333378810731437,0.08224106382042606,0.057296904022878264,True,final answer,135,False,,,,,True,True,7.284122109005693,29.928108938546846,0.7846153846153846,0.8837209302325582,0.0703125,3
verbosity_1_light,verbosity,1.3,gsm8k_train_13,290,376,1.296551724137931,0.0034482758620690834,1.2657026418128834,6.779615523138847e-05,86,1.3288745315375206,-6.779615523138847e-05,0.0017170906066894531,0.00038205089407194505,-0.0,-0.0021012306213378917,0.14544994438209335,0.09418041059301707,0.06114584943718828,True,final answer,283,False,,,,,True,True,12.668164117028937,29.68070168072493,0.824390243902439,0.9215686274509803,0.03940886699507389,4
verbosity_1_light,verbosity,1.3,gsm8k_train_14,213,286,1.3427230046948357,0.0427230046948357,1.2865344639283678,-0.0037562941913167275,73,1.3442371824083266,0.0037562941913167275,0.080108642578125,-0.0028302541738036077,-0.035400390625,-0.026837158203125003,0.06205905970355374,0.04230293077341285,0.023903456410759506,True,final answer,207,True,final answer,273,1.318840579710145,1.2816901408450705,True,True,9.644236458989326,29.655017399891868,0.8333333333333334,0.9161290322580645,0.045454545454545456,2
verbosity_1_light,verbosity,1.3,gsm8k_train_15,504,539,1.0694444444444444,0.23055555555555562,1.2299156657778416,0.006637198909781018,35,1.0712775364354927,-0.006637198909781018,-0.0972900390625,0.011328297048295567,0.111328125,0.056298828125000006,0.04800303087288138,-0.01231898576777235,0.009894143752705233,True,final answer,486,True,final answer,522,1.0740740740740742,1.0357142857142858,True,True,17.749601587012876,30.366878792050095,0.664576802507837,0.7861635220125787,0.13249211356466878,10
verbosity_1_light,verbosity,1.3,gsm8k_train_16,323,372,1.151702786377709,0.1482972136222911,1.2658286041606857,4.467329081802793e-05,49,1.1549558510314841,-4.467329081802793e-05,-0.006500244140625,0.0017208101100080822,0.046051025390625,0.0125518798828125,0.12717371826720392,0.09017860781103293,0.05913513638230788,True,final answer,315,True,final answer,364,1.1555555555555554,1.1269349845201238,True,False,12.265857409976888,30.328087761514336,0.7272727272727273,0.8257261410788381,0.1125,3
verbosity_1_light,verbosity,1.3,gsm8k_train_17,271,344,1.2693726937269372,0.03062730627306287,1.2346971065287013,0.0057594714927269135,73,1.271892364054404,-0.0057594714927269135,-0.073974609375,0.008341496454159436,0.109375,0.03955078125,0.18230429713103913,0.2525661447830676,0.11498826305404464,True,final answer,263,True,final answer,335,1.273764258555133,1.2361623616236161,False,True,11.328570824989583,30.36570149176927,0.895,0.964824120603015,0.010101010101010102,1
verbosity_1_light,verbosity,1.3,gsm8k_train_18,335,408,1.217910447761194,0.0820895522388061,1.280791459244346,-0.0027020528172016518,73,1.2240206639081583,0.0027020528172016518,0.14364498853683472,-0.0025489173466127207,-0.05584716796875,-0.05552318096160889,0.04377422934594111,0.004000161388148182,0.012973101928299969,True,the final answer,320,False,,,,,True,True,13.773626020993106,29.621829384516886,0.5795918367346938,0.8032786885245902,0.07407407407407407,1
verbosity_1_light,verbosity,1.3,gsm8k_train_19,293,300,1.023890784982935,0.276109215017065,1.2460493697283428,0.0036755404821527983,7,1.0509274023092425,-0.0036755404821527983,-0.0595703125,0.002811901396820901,0.05859375,0.025927734375,0.0731082661034963,0.09813429283280328,0.041164600984151936,True,final answer,287,True,final answer,294,1.024390243902439,1.0034129692832765,True,True,10.119570674956776,29.645526439418973,0.6904761904761905,0.8083832335329342,0.14457831325301204,1
